"Rank","Grade","Username","Tweets","Followers","Following"
"447","B","Mascherano","1,147","8,098,826","249"
"448","B","dhanushkraja","7,765","8,096,075","159"
"449","B","Zedd","31,598","8,090,078","361"
"450","B","basuki_btp","2,703","8,066,639","52"
"451","B","inijedar","43,997","8,066,144","3"
"452","B","bhogleharsha","50,747","8,063,404","164"
"453","B","Discovery","45,048","8,058,378","451"
"454","B","SenSanders","19,720","8,055,947","2,091"
"455","B","abpnewstv","186,449","8,042,236","163"
"456","B","Dior","2,904","8,042,135","143"
"457","B","FabioPorchat","9,434","8,038,458","1,014"
"458","B","officialjaden","5,432","8,018,765","176"
"459","B","lemondefr","288,508","8,015,948","592"
"460","B","chancetherapper","43,186","8,010,513","2,835"
"461","B","tylerthecreator","40,211","7,990,613","170"
"462","B","CarlosLoret","76,202","7,976,206","1,512"
"463","B","IAMQUEENLATIFAH","5,300","7,940,778","704"
"464","B+","hootsuite","65,895","7,930,038","1,505,909"
"465","B","IGGYAZALEA","47,925","7,911,779","962"
"466","B","samsmith","13,560","7,901,618","1,299"
"467","B","DwyaneWade","11,716","7,889,263","664"
"468","B","Anitta","46,595","7,882,669","677"
"469","B","FloydMayweather","7,647","7,880,811","516"
"470","B","SpiderAnderson","3,849","7,862,742","385"
"471","B","gadelmaleh","5,537","7,854,464","1,309"
"472","B","thevirdas","21,419","7,831,422","278"
"473","B","HARDWELL","11,664","7,816,068","1,057"
"474","B","Sethrogen","7,724","7,815,304","1,248"
"475","B","SpaceX","4,090","7,778,737","180"
"476","B","JuanLuisGuerra","1,358","7,773,303","64"
"477","B","lorde","2","7,771,157","115"
"478","B","mcuban","2,975","7,768,921","1,457"
"479","B","Camila_Cabello","12,584","7,757,969","16,504"
"480","B","TheDailyShow","17,150","7,750,710","498"
"481","B","SamuelLJackson","3,371","7,748,282","871"
"482","B","TMCPoldaMetro","527,258","7,744,682","0"
"483","B","Lmao","50,732","7,738,316","141,360"
"484","B","CP3","5,955","7,704,114","885"
"485","B","MoSalah","1,184","7,702,452","142"
"486","B","Nike","35,470","7,684,588","137"
"487","B","juanmata8","2,801","7,670,039","604"
"488","B","imdanielpadilla","3,050","7,662,443","732"
"489","B","aajtak","298,141","7,660,589","446"
"490","B","NPR","167,688","7,653,774","71,344"
"491","B","cocielo","696","7,652,459","814"
"492","B","abdulrahman","23,485","7,647,820","5,337"
"493","B","dog_rates","9,575","7,621,653","12"
"494","B","BBCSport","387,767","7,620,404","298"
"495","B","najwakaram","25,957","7,619,317","107"
"496","B","lopezdoriga","250,966","7,594,554","1,502"
"497","B","Swamy39","66,964","7,538,009","120"
